id,City,txn_date,card_type,expense_type,Gender,Amount
50,Delhi,04-10-2013,Signature,Bills,F,735037
72,Delhi,04-10-2013,Signature,Bills,F,550782
141,Greater Mumbai,04-10-2013,Gold,Bills,F,990700
622,Delhi,04-10-2013,Silver,Food,F,122944
809,Greater Mumbai,04-10-2013,Silver,Entertainment,F,116700
831,Ahmedabad,04-10-2013,Silver,Entertainment,F,240666
1521,Delhi,04-10-2013,Gold,Food,M,281924
1612,Delhi,04-10-2013,Gold,Grocery,M,125616
1693,Greater Mumbai,04-10-2013,Platinum,Grocery,F,22708
1866,Ahmedabad,04-10-2013,Gold,Entertainment,F,78098
2676,Delhi,04-10-2013,Signature,Fuel,F,298983
4104,Ahmedabad,04-10-2013,Silver,Entertainment,M,296021
4970,Ahmedabad,04-10-2013,Silver,Entertainment,F,17168
5798,Greater Mumbai,04-10-2013,Platinum,Grocery,F,52423
6379,Ahmedabad,04-10-2013,Silver,Food,M,116904
6931,Bengaluru,04-10-2013,Gold,Fuel,F,236037
7201,Greater Mumbai,04-10-2013,Gold,Entertainment,M,201942
7564,Bengaluru,04-10-2013,Silver,Food,F,205179
7749,Greater Mumbai,04-10-2013,Platinum,Entertainment,M,295639
8365,Delhi,04-10-2013,Gold,Entertainment,M,208425
8532,Greater Mumbai,04-10-2013,Silver,Fuel,M,35163
8645,Bengaluru,04-10-2013,Silver,Bills,M,159769
9244,Delhi,04-10-2013,Silver,Fuel,M,203722
9418,Ahmedabad,04-10-2013,Silver,Entertainment,M,89155
9427,Bengaluru,04-10-2013,Gold,Fuel,F,29929
10241,Delhi,04-10-2013,Silver,Fuel,F,52179
10361,Delhi,04-10-2013,Silver,Food,M,210174
11175,Greater Mumbai,04-10-2013,Signature,Food,F,290266
11398,Greater Mumbai,04-10-2013,Signature,Fuel,F,218607
11603,Bengaluru,04-10-2013,Platinum,Bills,M,18586
12233,Delhi,04-10-2013,Platinum,Entertainment,M,237165
12513,Bengaluru,04-10-2013,Silver,Food,M,182817
15118,Phalodi,04-10-2013,Gold,Entertainment,M,139361
15464,Lakshmeshwar,04-10-2013,Silver,Bills,F,83905
15765,Puttur,04-10-2013,Silver,Fuel,M,282754
15975,Terdal,04-10-2013,Gold,Grocery,F,64001
16063,Bheemunipatnam,04-10-2013,Silver,Food,F,14167
16390,Sawai Madhopur,04-10-2013,Gold,Fuel,F,215148
16503,Tanuku,04-10-2013,Signature,Grocery,F,92194
17398,Fatehpur Sikri,04-10-2013,Gold,Grocery,M,188578
17554,Siwan,04-10-2013,Platinum,Grocery,M,298389
17663,Nowgong,04-10-2013,Gold,Fuel,M,33784
18278,Sultanganj,04-10-2013,Gold,Entertainment,M,131374
18313,Bahadurgarh,04-10-2013,Silver,Food,F,91707
19086,Thane,04-10-2013,Gold,Entertainment,F,259372
20062,Hyderabad,04-10-2013,Signature,Bills,F,24897
20282,Kolkata,04-10-2013,Silver,Entertainment,F,18034
22828,Kolkata,04-10-2013,Gold,Fuel,F,46039
23493,Jaipur,04-10-2013,Signature,Entertainment,F,289594
23647,Hyderabad,04-10-2013,Gold,Food,F,80058
23691,Chennai,04-10-2013,Gold,Grocery,M,27511
23786,Kanpur,04-10-2013,Signature,Bills,M,29774
24005,Chennai,04-10-2013,Gold,Fuel,F,76211
24540,Chennai,04-10-2013,Signature,Entertainment,M,102337
25301,Surat,04-10-2013,Signature,Entertainment,F,216512
25573,Pune,04-10-2013,Silver,Travel,F,11626
190,Ahmedabad,05-10-2013,Platinum,Bills,F,612572
2537,Bengaluru,05-10-2013,Silver,Fuel,F,127320
2592,Greater Mumbai,05-10-2013,Signature,Fuel,M,122595
2980,Bengaluru,05-10-2013,Platinum,Food,M,183626
3456,Ahmedabad,05-10-2013,Signature,Grocery,M,20999
3617,Ahmedabad,05-10-2013,Signature,Grocery,M,229366
5338,Bengaluru,05-10-2013,Gold,Entertainment,M,264301
5920,Ahmedabad,05-10-2013,Signature,Entertainment,M,261523
6476,Ahmedabad,05-10-2013,Signature,Food,F,147199
7239,Greater Mumbai,05-10-2013,Silver,Food,F,141946
7804,Bengaluru,05-10-2013,Silver,Food,F,164024
8029,Bengaluru,05-10-2013,Silver,Fuel,F,123820
8250,Greater Mumbai,05-10-2013,Platinum,Bills,F,286662
9208,Ahmedabad,05-10-2013,Silver,Entertainment,F,299794
9727,Ahmedabad,05-10-2013,Signature,Food,M,158711
